2026-09-10 11:46:39 | INFO    | PipelineLogger.write | ARQUIVO...............: app.publish\Application Files\OuroNetWinServiceLinkPagamento_1_0_0_0\DevExpress.Data.Desktop.v23.2.dll.deploy
2026-09-10 11:46:39 | INFO    | PipelineLogger.write | ARQUIVO...............: app.publish\Application Files\OuroNetWinServiceLinkPagamento_1_0_0_0\DevExpress.Data.v23.2.dll.deploy
2026-09-10 11:46:39 | INFO    | PipelineLogger.write | ARQUIVO...............: app.publish\Application Files\OuroNetWinServiceLinkPagamento_1_0_0_0\DevExpress.DataAccess.v23.2.dll.deploy
2026-09-10 11:46:39 | INFO    | PipelineLogger.write | ARQUIVO...............: app.publish\Application Files\OuroNetWinServiceLinkPagamento_1_0_0_0\DevExpress.DataVisualization.v23.2.Core.dll.deploy
2026-09-10 11:46:39 | INFO    | PipelineLogger.write | ARQUIVO...............: app.publish\Application Files\OuroNetWinServiceLinkPagamento_1_0_0_0\DevExpress.Dialogs.v23.2.Core.dll.deploy
2026-09-10 11:46:39 | INFO    | PipelineLogger.write | ARQUIVO...............: app.publish\Application Files\OuroNetWinServiceLinkPagamento_1_0_0_0\DevExpress.Drawing.v23.2.dll.deploy
2026-09-10 11:46:39 | INFO    | PipelineLogger.write | ARQUIVO...............: app.publish\Application Files\OuroNetWinServiceLinkPagamento_1_0_0_0\DevExpress.Office.v23.2.Core.dll.deploy
2026-09-10 11:46:39 | INFO    | PipelineLogger.write | ARQUIVO...............: app.publish\Application Files\OuroNetWinServiceLinkPagamento_1_0_0_0\DevExpress.Pdf.v23.2.Core.dll.deploy
2026-09-10 11:46:39 | INFO    | PipelineLogger.write | ARQUIVO...............: app.publish\Application Files\OuroNetWinServiceLinkPagamento_1_0_0_0\DevExpress.Pdf.v23.2.Drawing.dll.deploy
2026-09-10 11:46:39 | INFO    | PipelineLogger.write | ARQUIVO...............: app.publish\Application Files\OuroNetWinServiceLinkPagamento_1_0_0_0\DevExpress.PivotGrid.v23.2.Core.dll.deploy
2026-09-10 11:46:40 | INFO    | PipelineLogger.write | ARQUIVO...............: app.publish\Application Files\OuroNetWinServiceLinkPagamento_1_0_0_0\DevExpress.Printing.v23.2.Core.dll.deploy
2026-09-10 11:46:40 | INFO    | PipelineLogger.write | ARQUIVO...............: app.publish\Application Files\OuroNetWinServiceLinkPagamento_1_0_0_0\DevExpress.RichEdit.v23.2.Core.dll.deploy
2026-09-10 11:46:40 | INFO    | PipelineLogger.write | ARQUIVO...............: app.publish\Application Files\OuroNetWinServiceLinkPagamento_1_0_0_0\DevExpress.Sparkline.v23.2.Core.dll.deploy
