2026-09-11 16:58:28 | INFO    | PipelineLogger.write | project_file............: C:\DvpLocal\WorkSpaceTFS\OuroNet\Scc\Producao\OuroNet\02-Source\01-Client\OuroNet.Client.WinService.EmailTracking\OuroNet.Client.WinService.Email.csproj
2026-09-11 16:58:28 | INFO    | PipelineLogger.write | SETUP DIAGNOSTICO - PUBLISH DE ORIGEM
2026-09-11 16:58:29 | INFO    | PipelineLogger.write | Projeto...............: EmailTracking
2026-09-11 16:58:29 | INFO    | PipelineLogger.write | Ambiente..............: production
2026-09-11 16:58:29 | INFO    | PipelineLogger.write | Versao................: 1.0.0
2026-09-11 16:58:29 | INFO    | PipelineLogger.write | Revisao................: 0
2026-09-11 16:58:29 | INFO    | PipelineLogger.write | PublishPath............: C:\DvpLocal\WorkSpaceTFS\OuroNet\Scc\Producao\OuroNet\02-Source\01-Client\OuroNet.Client.WinService.EmailTracking\bin\Release
2026-09-11 16:58:29 | INFO    | PipelineLogger.write | PublishPath existe.....: True
2026-09-11 16:58:29 | INFO    | PipelineLogger.write | ================================================================================
2026-09-11 16:58:29 | INFO    | PipelineLogger.write | ORIGEM - ANTES DA COPIA
2026-09-11 16:58:30 | INFO    | PipelineLogger.write | Diretorio.............: C:\DvpLocal\WorkSpaceTFS\OuroNet\Scc\Producao\OuroNet\02-Source\01-Client\OuroNet.Client.WinService.EmailTracking\bin\Release
2026-09-11 16:58:30 | INFO    | PipelineLogger.write | Diretorio existe......: True
2026-09-11 16:58:31 | INFO    | PipelineLogger.write | Arquivos..............: 815
2026-09-11 16:58:31 | INFO    | PipelineLogger.write | Diretorios............: 75
2026-09-11 16:58:31 | INFO    | PipelineLogger.write | ================================================================================
2026-09-11 16:58:46 | INFO    | PipelineLogger.write | SETUP DIAGNOSTICO - WORKSPACE APOS COPIA
2026-09-11 16:58:47 | INFO    | PipelineLogger.write | Workspace.............: C:\Setups\.work\EmailTracking
2026-09-11 16:58:47 | INFO    | PipelineLogger.write | Workspace Release.....: C:\Setups\.work\EmailTracking\Release
2026-09-11 16:58:47 | INFO    | PipelineLogger.write | Release existe........: True
2026-09-11 16:58:47 | INFO    | PipelineLogger.write | ================================================================================
2026-09-11 16:58:47 | INFO    | PipelineLogger.write | WORKSPACE - APOS COPIA E ANTES DO CLEANUP
2026-09-11 16:58:48 | INFO    | PipelineLogger.write | Diretorio.............: C:\Setups\.work\EmailTracking\Release
2026-09-11 16:58:48 | INFO    | PipelineLogger.write | Diretorio existe......: True
2026-09-11 16:58:48 | INFO    | PipelineLogger.write | Arquivos..............: 815
2026-09-11 16:58:48 | INFO    | PipelineLogger.write | Diretorios............: 75
2026-09-11 16:58:48 | INFO    | PipelineLogger.write | ================================================================================
2026-09-11 16:58:54 | INFO    | PipelineLogger.write | SETUP DIAGNOSTICO - CLEANUP
2026-09-11 16:58:54 | INFO    | PipelineLogger.write | Arquivos analisados.....: 815
2026-09-11 16:58:55 | INFO    | PipelineLogger.write | Arquivos removidos......: 611
2026-09-11 16:58:55 | INFO    | PipelineLogger.write | Arquivos preservados....: 204
2026-09-11 16:58:55 | INFO    | PipelineLogger.write | Diretorios analisados...: 75
2026-09-11 16:58:55 | INFO    | PipelineLogger.write | Diretorios removidos....: 70
2026-09-11 16:58:55 | INFO    | PipelineLogger.write | Diretorios preservados..: 5
2026-09-11 16:58:55 | INFO    | PipelineLogger.write | CLEANUP RESULTADO
2026-09-11 16:58:55 | INFO    | PipelineLogger.write | Arquivos removidos......: 611
2026-09-11 16:58:55 | INFO    | PipelineLogger.write | Arquivos preservados....: 204
2026-09-11 16:58:55 | INFO    | PipelineLogger.write | Diretorios removidos....: 70
2026-09-11 16:58:55 | INFO    | PipelineLogger.write | Diretorios preservados..: 5
2026-09-11 16:58:55 | INFO    | PipelineLogger.write | ================================================================================
2026-09-11 16:58:55 | INFO    | PipelineLogger.write | WORKSPACE - APOS CLEANUP
2026-09-11 16:58:55 | INFO    | PipelineLogger.write | Diretorio.............: C:\Setups\.work\EmailTracking\Release
2026-09-11 16:58:55 | INFO    | PipelineLogger.write | Diretorio existe......: True
2026-09-11 16:58:55 | INFO    | PipelineLogger.write | Arquivos..............: 105
2026-09-11 16:58:55 | INFO    | PipelineLogger.write | Diretorios............: 4
2026-09-11 16:58:56 | INFO    | PipelineLogger.write | ================================================================================
2026-09-11 16:58:56 | INFO    | PipelineLogger.write | SETUP DIAGNOSTICO - SOURCEPATH DO AIP ATUALIZADO
2026-09-11 16:58:56 | INFO    | PipelineLogger.write | AIP...................: C:\Setups\.work\EmailTracking\AIP\OuroNet.WinServiceEmailTracking.Setup.aip
2026-09-11 16:58:56 | INFO    | PipelineLogger.write | SourcePath...........: C:\Setups\.work\EmailTracking\Release
