2026-09-08 10:59:56 | INFO    | PipelineLogger.write | Failed Step.....: 
2026-09-08 10:59:56 | INFO    | PipelineLogger.write | Elapsed.........: 24.037811
2026-09-08 10:59:56 | INFO    | PipelineLogger.write | Build Warnings..: 0
2026-09-08 10:59:56 | INFO    | PipelineLogger.write | Build Errors....: 0
2026-09-08 10:59:56 | INFO    | PipelineLogger.write | Publish.........: None
2026-09-08 10:59:56 | INFO    | PipelineLogger.write | Steps executadas: 3
2026-09-08 10:59:56 | INFO    | PipelineLogger.write | ================================================================================
2026-09-08 10:59:56 | INFO    | PipelineLogger.write | SALVANDO EXECUÇÃO
2026-09-08 10:59:56 | INFO    | PipelineLogger.write | ================================================================================
2026-09-08 10:59:56 | INFO    | PipelineLogger.write | EXECUÇÃO SALVA
2026-09-08 10:59:56 | INFO    | PipelineLogger.write | ================================================================================
2026-09-08 10:59:56 | INFO    | PipelineLogger.write | 
2026-09-08 10:59:56 | INFO    | PipelineLogger.write | ================================================================================
2026-09-08 10:59:56 | INFO    | PipelineLogger.write | PIPELINE RUNNER - FINAL
2026-09-08 10:59:56 | INFO    | PipelineLogger.write | ================================================================================
2026-09-08 10:59:56 | INFO    | PipelineLogger.write | PipelineResult...: <class 'app.models.pipeline.pipeline_result.PipelineResult'>
2026-09-08 10:59:56 | INFO    | PipelineLogger.write | Build............: <class 'app.models.build.build_execution.BuildExecution'>
2026-09-08 10:59:56 | INFO    | PipelineLogger.write | Publish..........: <class 'NoneType'>
2026-09-08 10:59:56 | INFO    | PipelineLogger.write | Steps............: 3
2026-09-08 10:59:56 | INFO    | PipelineLogger.write | ================================================================================
2026-09-08 10:59:56 | INFO    | PipelineLogger.write | SETUP - INICIO
2026-09-08 10:59:56 | INFO    | PipelineLogger.write | Projeto........: linkpagamento
2026-09-08 10:59:56 | INFO    | PipelineLogger.write | Ambiente.......: production
2026-09-08 10:59:56 | INFO    | PipelineLogger.write | Versao.........: 10.4.8
2026-09-08 10:59:56 | INFO    | PipelineLogger.write | Revisao........: 0
2026-09-08 10:59:56 | INFO    | PipelineLogger.write | Build incluido.: False
2026-09-08 10:59:56 | INFO    | PipelineLogger.write | Total de etapas: 6
2026-09-08 10:59:56 | INFO    | PipelineLogger.write | SETUP - RESOLVENDO WORKSPACE
2026-09-08 10:59:56 | INFO    | PipelineLogger.write | SETUP - WORKSPACE RESOLVIDO: C:\DvpLocal\WorkSpaceTFS\OuroNet\Scc\Producao\OuroNet
2026-09-08 10:59:56 | INFO    | PipelineLogger.write | SETUP - VALIDANDO ENGINE
2026-09-08 10:59:56 | INFO    | PipelineLogger.write | SETUP - ENGINE: SetupEngine.ADVANCED_INSTALLER
2026-09-08 10:59:56 | INFO    | PipelineLogger.write | SETUP - RESOLVENDO CAMINHOS
2026-09-08 10:59:56 | INFO    | PipelineLogger.write | SETUP - AIP: C:\DvpLocal\WorkSpaceTFS\Transferencia de Arquivo\TransferenciaDeArquivos\Setups\Installers\Projects\OuroNet.WinServiceLinkPagamento.aip
2026-09-08 10:59:56 | INFO    | PipelineLogger.write | SETUP - OUTPUT MSI: C:\Setups\10.4.8.0\Cliente\OuroNet.Client.WinServiceLinkPagamento.Setup.msi
2026-09-08 10:59:56 | INFO    | PipelineLogger.write | SETUP - CARREGANDO DEFINICAO ADVANCED INSTALLER
2026-09-08 10:59:57 | INFO    | PipelineLogger.write | SETUP - DEFINICAO CARREGADA
2026-09-08 10:59:57 | INFO    | PipelineLogger.write | SETUP - CRIANDO INSTALLER
2026-09-08 10:59:57 | INFO    | PipelineLogger.write | SETUP - INSTALLER: AdvancedInstallerService
2026-09-08 10:59:57 | INFO    | PipelineLogger.write | SETUP - EXECUCAO DO ADVANCED INSTALLER - INICIO
2026-09-08 11:01:05 | INFO    | PipelineLogger.write | SETUP - EXECUCAO DO ADVANCED INSTALLER - STATUS: True
2026-09-08 11:01:05 | INFO    | PipelineLogger.write | SETUP - RESULTADO: Setup gerado com sucesso.
2026-09-08 11:01:05 | INFO    | PipelineLogger.write | SETUP - MSI GERADO: C:\Setups\10.4.8.0\Cliente\OuroNet.Client.WinServiceLinkPagamento.Setup.msi
2026-09-08 11:01:05 | INFO    | PipelineLogger.write | SETUP - FINAL
